snapshot_id,failure_within_48h
snap_0001,1
snap_0002,1
snap_0003,0
snap_0004,0
snap_0005,0
snap_0006,1
snap_0007,0
snap_0008,0
snap_0009,0
snap_0010,0
snap_0011,0
snap_0012,0
snap_0013,1
snap_0014,1
snap_0015,1
snap_0016,0
snap_0017,0
snap_0018,0
snap_0019,1
snap_0020,0
snap_0021,1
snap_0022,0
snap_0023,0
snap_0024,0
snap_0025,0
snap_0026,0
snap_0027,0
snap_0028,0
snap_0029,0
snap_0030,0
snap_0031,0
snap_0032,0
snap_0033,0
snap_0034,0
snap_0035,0
snap_0036,1
snap_0037,0
snap_0038,1
snap_0039,0
snap_0040,0
snap_0041,0
snap_0042,0
snap_0043,0
snap_0044,0
snap_0045,1
snap_0046,0
snap_0047,0
snap_0048,1
snap_0049,0
snap_0050,0
snap_0051,1
snap_0052,0
snap_0053,0
snap_0054,0
snap_0055,0
snap_0056,0
snap_0057,0
snap_0058,0
snap_0059,0
snap_0060,0
snap_0061,0
snap_0062,0
snap_0063,0
snap_0064,0
snap_0065,0
snap_0066,0
snap_0067,0
snap_0068,0
snap_0069,0
snap_0070,0
snap_0071,0
snap_0072,0
snap_0073,0
snap_0074,0
snap_0075,0
snap_0076,0
snap_0077,1
snap_0078,1
snap_0079,0
snap_0080,0
snap_0081,1
snap_0082,0
snap_0083,0
snap_0084,0
snap_0085,0
snap_0086,1
snap_0087,0
snap_0088,0
snap_0089,0
snap_0090,0
snap_0091,1
snap_0092,0
snap_0093,0
snap_0094,0
snap_0095,1
snap_0096,0
snap_0097,1
snap_0098,1
snap_0099,0
snap_0100,1
snap_0101,0
snap_0102,0
snap_0103,0
snap_0104,0
snap_0105,0
snap_0106,0
snap_0107,0
snap_0108,0
snap_0109,0
snap_0110,0
snap_0111,0
snap_0112,0
snap_0113,0
snap_0114,0
snap_0115,0
snap_0116,0
snap_0117,0
snap_0118,0
snap_0119,0
snap_0120,0
snap_0121,0
snap_0122,0
snap_0123,0
snap_0124,0
snap_0125,0
snap_0126,0
snap_0127,0
snap_0128,0
snap_0129,0
snap_0130,0
snap_0131,0
snap_0132,0
snap_0133,0
snap_0134,0
snap_0135,0
snap_0136,1
snap_0137,1
snap_0138,0
snap_0139,1
snap_0140,0
snap_0141,0
snap_0142,0
snap_0143,0
snap_0144,0
snap_0145,0
snap_0146,1
snap_0147,1
snap_0148,0
snap_0149,0
snap_0150,0
snap_0151,0
snap_0152,0
snap_0153,0
snap_0154,0
snap_0155,0
snap_0156,0
snap_0157,0
snap_0158,0
snap_0159,0
snap_0160,0
snap_0161,0
snap_0162,0
snap_0163,1
snap_0164,0
snap_0165,0
snap_0166,1
snap_0167,0
snap_0168,1
snap_0169,0
snap_0170,1
snap_0171,0
snap_0172,0
snap_0173,1
snap_0174,0
snap_0175,0
snap_0176,0
snap_0177,0
snap_0178,1
snap_0179,0
snap_0180,1
snap_0181,0
snap_0182,0
snap_0183,0
snap_0184,1
snap_0185,1
snap_0186,0
snap_0187,0
snap_0188,0
snap_0189,0
snap_0190,0
snap_0191,0
snap_0192,0
snap_0193,0
snap_0194,0
snap_0195,0
snap_0196,0
snap_0197,0
snap_0198,0
snap_0199,0
snap_0200,0
snap_0201,1
snap_0202,1
snap_0203,0
snap_0204,0
snap_0205,0
snap_0206,0
snap_0207,0
snap_0208,0
snap_0209,0
snap_0210,0
snap_0211,0
snap_0212,0
snap_0213,0
snap_0214,0
snap_0215,0
snap_0216,0
snap_0217,0
snap_0218,0
snap_0219,0
snap_0220,0
snap_0221,0
snap_0222,0
snap_0223,0
snap_0224,0
snap_0225,0
snap_0226,0
snap_0227,0
snap_0228,0
snap_0229,1
snap_0230,0
snap_0231,0
snap_0232,0
snap_0233,0
snap_0234,0
snap_0235,0
snap_0236,0
snap_0237,0
snap_0238,1
snap_0239,0
snap_0240,0
snap_0241,0
snap_0242,0
snap_0243,0
snap_0244,0
snap_0245,1
snap_0246,0
snap_0247,0
snap_0248,0
snap_0249,1
snap_0250,0
snap_0251,0
snap_0252,0
snap_0253,0
snap_0254,0
snap_0255,0
snap_0256,0
snap_0257,0
snap_0258,0
snap_0259,1
snap_0260,0
snap_0261,0
snap_0262,1
snap_0263,0
snap_0264,1
snap_0265,0
snap_0266,0
snap_0267,0
snap_0268,1
snap_0269,0
snap_0270,0
snap_0271,0
snap_0272,0
snap_0273,0
snap_0274,0
snap_0275,0
snap_0276,0
snap_0277,0
snap_0278,0
snap_0279,0
snap_0280,0
snap_0281,0
snap_0282,0
snap_0283,0
snap_0284,0
snap_0285,0
snap_0286,0
snap_0287,0
snap_0288,0
snap_0289,0
snap_0290,1
snap_0291,0
snap_0292,0
snap_0293,0
snap_0294,0
snap_0295,0
snap_0296,0
snap_0297,1
snap_0298,0
snap_0299,0
snap_0300,0
snap_0301,0
snap_0302,0
snap_0303,0
snap_0304,0
snap_0305,0
snap_0306,1
snap_0307,1
snap_0308,0
snap_0309,0
snap_0310,0
snap_0311,0
snap_0312,0
snap_0313,0
snap_0314,0
snap_0315,0
snap_0316,0
snap_0317,0
snap_0318,0
snap_0319,0
snap_0320,0
snap_0321,0
snap_0322,0
snap_0323,0
snap_0324,1
snap_0325,0
snap_0326,0
snap_0327,0
snap_0328,0
snap_0329,0
snap_0330,0
snap_0331,0
snap_0332,0
snap_0333,0
snap_0334,0
snap_0335,0
snap_0336,0
snap_0337,0
snap_0338,0
snap_0339,0
snap_0340,1
snap_0341,0
snap_0342,0
snap_0343,0
snap_0344,0
snap_0345,0
snap_0346,0
snap_0347,1
snap_0348,0
snap_0349,1
snap_0350,0
snap_0351,1
snap_0352,0
snap_0353,1
snap_0354,0
snap_0355,0
snap_0356,0
snap_0357,0
snap_0358,0
snap_0359,0
snap_0360,0
snap_0361,0
snap_0362,0
snap_0363,0
snap_0364,0
snap_0365,0
snap_0366,0
snap_0367,0
snap_0368,0
snap_0369,0
snap_0370,0
snap_0371,0
snap_0372,0
snap_0373,1
snap_0374,0
snap_0375,1
snap_0376,0
snap_0377,0
snap_0378,1
snap_0379,0
snap_0380,0
snap_0381,0
snap_0382,0
snap_0383,0
snap_0384,0
snap_0385,0
snap_0386,0
snap_0387,0
snap_0388,0
snap_0389,0
snap_0390,0
snap_0391,0
snap_0392,0
snap_0393,0
snap_0394,0
snap_0395,1
snap_0396,0
snap_0397,0
snap_0398,0
snap_0399,0
snap_0400,0
snap_0401,0
snap_0402,0
snap_0403,0
snap_0404,0
snap_0405,0
snap_0406,0
snap_0407,1
snap_0408,0
snap_0409,0
snap_0410,0
snap_0411,0
snap_0412,0
snap_0413,1
snap_0414,1
snap_0415,0
snap_0416,0
snap_0417,0
snap_0418,0
snap_0419,0
snap_0420,0
snap_0421,1
snap_0422,0
snap_0423,1
snap_0424,0
snap_0425,0
snap_0426,0
snap_0427,1
snap_0428,0
snap_0429,0
snap_0430,1
snap_0431,0
snap_0432,0
snap_0433,1
snap_0434,0
snap_0435,0
snap_0436,0
snap_0437,0
snap_0438,0
snap_0439,0
snap_0440,0
snap_0441,0
snap_0442,1
snap_0443,0
snap_0444,0
snap_0445,0
snap_0446,0
snap_0447,0
snap_0448,0
snap_0449,1
snap_0450,0
snap_0451,0
snap_0452,0
snap_0453,0
snap_0454,0
snap_0455,0
snap_0456,0
snap_0457,0
snap_0458,1
snap_0459,1
snap_0460,0
snap_0461,0
snap_0462,0
snap_0463,0
snap_0464,0
snap_0465,0
snap_0466,0
snap_0467,0
snap_0468,1
snap_0469,0
snap_0470,1
snap_0471,0
snap_0472,0
snap_0473,0
snap_0474,0
snap_0475,0
snap_0476,1
snap_0477,0
snap_0478,0
snap_0479,0
snap_0480,0
snap_0481,0
snap_0482,0
snap_0483,0
snap_0484,0
snap_0485,0
snap_0486,0
snap_0487,0
snap_0488,0
snap_0489,0
snap_0490,0
snap_0491,0
snap_0492,0
snap_0493,0
snap_0494,1
snap_0495,0
snap_0496,0
snap_0497,0
snap_0498,0
snap_0499,0
snap_0500,0
snap_0501,0
snap_0502,0
snap_0503,0
snap_0504,0
snap_0505,0
snap_0506,0
snap_0507,1
snap_0508,0
snap_0509,0
snap_0510,1
snap_0511,0
snap_0512,0
snap_0513,1
snap_0514,0
snap_0515,0
snap_0516,0
snap_0517,0
snap_0518,0
snap_0519,1
snap_0520,0
snap_0521,0
snap_0522,0
snap_0523,0
snap_0524,0
snap_0525,0
snap_0526,0
snap_0527,0
snap_0528,0
snap_0529,0
snap_0530,0
snap_0531,1
snap_0532,0
snap_0533,0
snap_0534,0
snap_0535,0
snap_0536,0
snap_0537,0
snap_0538,0
snap_0539,0
snap_0540,0
snap_0541,0
snap_0542,0
snap_0543,0
snap_0544,1
snap_0545,1
snap_0546,1
snap_0547,0
snap_0548,1
snap_0549,0
snap_0550,1
snap_0551,0
snap_0552,0
snap_0553,0
snap_0554,0
snap_0555,0
snap_0556,0
snap_0557,0
snap_0558,0
snap_0559,1
snap_0560,0
snap_0561,0
snap_0562,1
snap_0563,0
snap_0564,0
snap_0565,0
snap_0566,1
snap_0567,0
snap_0568,0
snap_0569,0
snap_0570,0
snap_0571,0
snap_0572,0
snap_0573,0
snap_0574,0
snap_0575,0
snap_0576,0
snap_0577,0
snap_0578,0
snap_0579,0
snap_0580,0
snap_0581,0
snap_0582,0
snap_0583,1
snap_0584,1
snap_0585,0
snap_0586,0
snap_0587,0
snap_0588,0
snap_0589,0
snap_0590,0
snap_0591,0
snap_0592,1
snap_0593,0
snap_0594,0
snap_0595,0
snap_0596,0
snap_0597,0
snap_0598,0
snap_0599,0
snap_0600,0
snap_0601,1
snap_0602,0
snap_0603,0
snap_0604,1
snap_0605,0
snap_0606,0
snap_0607,0
snap_0608,0
snap_0609,0
snap_0610,0
snap_0611,0
snap_0612,0
snap_0613,0
snap_0614,0
snap_0615,0
snap_0616,0
snap_0617,1
snap_0618,0
snap_0619,0
snap_0620,0
snap_0621,0
snap_0622,0
snap_0623,0
snap_0624,1
snap_0625,0
snap_0626,0
snap_0627,0
snap_0628,0
snap_0629,0
snap_0630,0
snap_0631,0
snap_0632,0
snap_0633,0
snap_0634,1
snap_0635,0
snap_0636,0
snap_0637,0
snap_0638,0
snap_0639,0
snap_0640,0
snap_0641,1
snap_0642,0
snap_0643,0
snap_0644,1
snap_0645,1
snap_0646,0
snap_0647,0
snap_0648,1
snap_0649,0
snap_0650,0
snap_0651,0
snap_0652,1
snap_0653,0
snap_0654,0
snap_0655,0
snap_0656,0
snap_0657,0
snap_0658,0
snap_0659,0
snap_0660,0
snap_0661,0
snap_0662,0
snap_0663,0
snap_0664,1
snap_0665,0
snap_0666,0
snap_0667,1
snap_0668,0
snap_0669,0
snap_0670,0
snap_0671,0
snap_0672,0
snap_0673,0
snap_0674,0
snap_0675,0
snap_0676,0
snap_0677,0
snap_0678,1
snap_0679,0
snap_0680,0
snap_0681,1
snap_0682,0
snap_0683,0
snap_0684,0
snap_0685,0
snap_0686,0
snap_0687,0
snap_0688,0
snap_0689,0
snap_0690,0
snap_0691,0
snap_0692,0
snap_0693,0
snap_0694,0
snap_0695,1
snap_0696,0
snap_0697,0
snap_0698,0
snap_0699,0
snap_0700,0
snap_0701,0
snap_0702,0
snap_0703,0
snap_0704,0
snap_0705,0
snap_0706,0
snap_0707,0
snap_0708,1
snap_0709,1
snap_0710,0
snap_0711,1
snap_0712,0
snap_0713,0
snap_0714,0
snap_0715,0
snap_0716,0
snap_0717,0
snap_0718,0
snap_0719,0
snap_0720,0
snap_0721,0
snap_0722,0
snap_0723,0
snap_0724,0
snap_0725,0
snap_0726,0
snap_0727,0
snap_0728,0
snap_0729,1
snap_0730,0
snap_0731,0
snap_0732,0
snap_0733,0
snap_0734,0
snap_0735,0
snap_0736,1
snap_0737,0
snap_0738,0
snap_0739,0
snap_0740,1
snap_0741,0
snap_0742,0
snap_0743,0
snap_0744,0
snap_0745,0
snap_0746,0
snap_0747,0
snap_0748,1
snap_0749,0
snap_0750,0
snap_0751,0
snap_0752,0
snap_0753,1
snap_0754,0
snap_0755,0
snap_0756,0
snap_0757,0
snap_0758,1
snap_0759,0
snap_0760,0
snap_0761,0
snap_0762,1
snap_0763,0
snap_0764,0
snap_0765,0
snap_0766,0
snap_0767,0
snap_0768,0
snap_0769,0
snap_0770,0
snap_0771,0
snap_0772,0
snap_0773,0
snap_0774,0
snap_0775,0
snap_0776,0
snap_0777,0
snap_0778,0
snap_0779,0
snap_0780,0
snap_0781,0
snap_0782,1
snap_0783,0
snap_0784,0
snap_0785,0
snap_0786,0
snap_0787,1
snap_0788,0
snap_0789,0
snap_0790,0
snap_0791,0
snap_0792,0
snap_0793,0
snap_0794,0
snap_0795,0
snap_0796,0
snap_0797,0
snap_0798,1
snap_0799,0
snap_0800,0
